# MPI+OpenMP K-means Timing Results
# Format: dataset,processes,threads,total_cores,run,computation_time_seconds
dataset,processes,threads,total_cores,run,computation_time
400k_100,2,4,8,2,15.351608
400k_100,2,4,8,3,15.351524
400k_100,2,4,8,4,15.343712
400k_100,2,4,8,5,15.346024
400k_100,2,8,16,1,7.934525
400k_100,2,8,16,2,7.937846
400k_100,2,8,16,3,7.928294
400k_100,2,8,16,4,7.929692
400k_100,2,8,16,5,7.824933
400k_100,2,16,32,1,4.325942
400k_100,2,16,32,2,4.476824
400k_100,2,16,32,3,4.321961
400k_100,2,16,32,4,4.334433
400k_100,2,16,32,5,4.318689
400k_100,2,32,64,1,2.894020
400k_100,2,32,64,2,2.894838
400k_100,2,32,64,3,2.931917
400k_100,2,32,64,4,2.898326
400k_100,2,32,64,5,2.903325
400k_100,4,1,4,1,70.047197
400k_100,4,1,4,2,71.564552
400k_100,4,1,4,3,70.272299
400k_100,4,1,4,4,74.507280
400k_100,4,1,4,5,60.599195
400k_100,4,2,8,1,40.253181
400k_100,4,2,8,2,37.602688
400k_100,4,2,8,3,38.130473
400k_100,4,2,8,4,39.148687
400k_100,4,2,8,5,38.807642
400k_100,4,4,16,1,18.659283
400k_100,4,4,16,2,19.509500
400k_100,4,4,16,3,21.331149
400k_100,4,4,16,4,20.962221
400k_100,4,4,16,5,18.708949
400k_100,4,8,32,1,10.212069
400k_100,4,8,32,2,9.802861
400k_100,4,8,32,3,10.553128
400k_100,4,8,32,4,9.885731
400k_100,4,8,32,5,10.064347
400k_100,4,16,64,1,5.569683
400k_100,4,16,64,2,6.138975
400k_100,4,16,64,3,5.845745
400k_100,4,16,64,4,5.835395
400k_100,4,16,64,5,6.007753
800k_100,2,1,2,1,94.812080
800k_100,2,1,2,2,94.767721
800k_100,2,1,2,3,94.830979
800k_100,2,1,2,4,94.887057
800k_100,2,1,2,5,94.747608
800k_100,2,2,4,1,47.969309
800k_100,2,2,4,2,47.845970
800k_100,2,2,4,3,47.848597
800k_100,2,2,4,4,47.817459
800k_100,2,2,4,5,47.830646
800k_100,2,4,8,1,24.584098
800k_100,2,4,8,2,24.098938
800k_100,2,4,8,3,24.227899
800k_100,2,4,8,4,24.246006
800k_100,2,4,8,5,24.248385
800k_100,2,8,16,1,12.493152
800k_100,2,8,16,2,12.559760
800k_100,2,8,16,3,12.433473
800k_100,2,8,16,4,12.326945
800k_100,2,8,16,5,12.411329
800k_100,2,16,32,1,6.528113
800k_100,2,16,32,2,6.826546
800k_100,2,16,32,3,6.829083
800k_100,2,16,32,4,6.831709
800k_100,2,16,32,5,7.029372
800k_100,2,32,64,1,4.543819
800k_100,2,32,64,2,4.538371
800k_100,2,32,64,3,4.545278
800k_100,2,32,64,4,4.558257
800k_100,2,32,64,5,4.539281
800k_100,4,1,4,1,94.802385
800k_100,4,1,4,2,106.635122
800k_100,4,1,4,3,102.360087
800k_100,4,1,4,4,105.522343
800k_100,4,1,4,5,102.510799
800k_100,4,2,8,1,54.811419
800k_100,4,2,8,2,56.584963
800k_100,4,2,8,3,61.194871
800k_100,4,2,8,4,59.000786
800k_100,4,2,8,5,60.227301
800k_100,4,4,16,1,33.279124
800k_100,4,4,16,2,31.815693
800k_100,4,4,16,3,31.888017
800k_100,4,4,16,4,31.410349
800k_100,4,4,16,5,31.160356
800k_100,4,8,32,1,17.317534
800k_100,4,8,32,2,17.258307
800k_100,4,8,32,3,16.768059
800k_100,4,8,32,4,17.114967
800k_100,4,8,32,5,17.302412
800k_100,4,16,64,1,8.879808
800k_100,4,16,64,2,9.028651
800k_100,4,16,64,3,9.103470
800k_100,4,16,64,4,9.205376
800k_100,4,16,64,5,8.666324
